x to x + 1,nqx,lx,ndx,nLx,Tx,ex
75-76,0.027916285094650863,74229.57820918114,2072.214067743184,73193.47117530955,989298.5863644497,13.327552307741492
76-77,0.030658208386009533,72157.36414143795,2212.2155064333765,71051.25638822127,916105.1151891402,12.695933756580317
77-78,0.033661215418593786,69945.14863500457,2354.43871568845,68767.92927716035,845053.8588009189,12.08166506601725
78-79,0.036948214755745806,67590.70991931613,2497.3560655922106,66342.03188652002,776285.9295237586,11.48509803270924
79-80,0.040543735431400905,65093.353853723915,2639.127716987943,63773.78999522994,709943.8976372386,10.906549679904433
80-81,0.044473960540020833,62454.226136735975,2777.5867887627337,61065.432742354606,646170.1076420087,10.346299163603394
81-82,0.048766742336648024,59676.63934797324,2910.235294599682,58221.5217006734,585104.6748996541,9.804584864236757
82-83,0.053451594048122136,56766.40405337356,3034.2547850325986,55249.276660857264,526883.1531989807,9.281601714697105
83-84,0.05855965295439333,53732.14926834096,3146.536013647706,52158.881261517105,471633.87653812347,8.777498815146236
84-85,0.06412360866778308,50585.61325469326,3243.732068563771,48963.74722041137,419474.99527660635,8.292377383359845
85-86,0.070177589954088,47341.88118612949,3322.3391255353486,45680.711623361814,370511.248056195,7.826289086390374
86-87,0.07675700295016978,44019.54206059414,3378.808119810147,42330.13800068907,324830.5364328332,7.3792347949848
87-88,0.08389831329837902,40640.73394078399,3409.689028839961,38935.88942636401,282500.3984321441,6.951163796494528
88-89,0.09163876461255319,37231.04491194403,3411.806960965035,35525.14143146151,243564.50900578007,6.5419734950184685
89-90,0.10001602590019842,33819.237950979,3382.4657788300888,32128.005061563952,208039.36757431854,6.151509619343632
90-91,0.10906776118895227,30436.772172148907,3319.670598634485,28776.936872831666,175911.3625127546,5.779566950063182
91-92,0.11883111574811163,27117.10157351442,3222.3554358355923,25505.923855596626,147134.42563992293,5.425890567288016
92-93,0.12934211506446966,23894.74613767883,3090.597004375947,22349.44763549086,121628.5017843263,5.090177609902889
93-94,0.14063497522390633,20804.149133302883,2925.7909979165033,19341.25363434463,99279.05414883545,4.772079526670545
94-95,0.1527413266424008,17878.35813538638,2730.764139786875,16512.976065492945,79937.80051449082,4.471204789005265
95=96,0.16568935722058417,15147.593995599505,2509.7951125692625,13892.696439314874,63424.82444899788,4.1871220252815915
96-97,0.17950288594562352,12637.798883030244,2268.5213715043064,11503.53819727809,49532.12800968301,3.9193635274726244
97-98,0.19420038363644812,10369.277511525937,2013.7176707711312,9362.418676140373,38028.58981240492,3.667429073060718
98-99,0.20979396372951453,8355.559840754806,1752.946018171102,7479.086831669255,28666.171136264547,3.430789998827292
99-100,0.22628837242712255,6602.613822583704,1494.0947356772883,5855.56645474506,21187.084304595293,3.2088934585461586
100-101,0.24368001375570955,5108.519086906415,1244.8440013686602,4486.097086222086,15331.517849850234,3.0011667939435256
101-102,0.26195605057414406,3863.6750855377554,1012.1130661091886,3357.6185524831612,10845.420763628148,2.8070219476332228
102-103,0.28109362671323646,2851.5620194285666,801.5559098388962,2450.7840645091187,7487.802211144986,2.6258598480861695
103-104,0.3010592575593495,2050.0061095896704,617.1733173451966,1741.419450917072,5037.018146635868,2.457074699959835
104-105,0.32180843588582453,1432.8327922444737,461.09767975811263,1202.2839523654175,3295.598695718796,2.3000581181258255
105-106,0.34328549606495207,971.735112486361,333.5825701336124,804.9438274195547,2093.3147433533786,2.15420305025024
106-107,0.36542377264122544,638.1525423527486,233.1961095471308,521.5544875791832,1288.3709159338239,2.018907440506062
107-108,0.38814607858412703,404.9564328056178,157.1822513909171,326.3653071101593,766.8164283546407,1.8935775955995704
108-109,0.4113655146922253,247.7741814147007,101.92575366510316,196.81130458214912,440.45112124448144,1.7776312234376692
109-110,0.434986605302365,145.84842774959753,63.44211247548468,114.12737151185519,243.63981666233232,1.6705001241468964
